Name,Model,Preprocessing,Error,Year,Cite
"3-layer NN, 300+100 HU [distortions]",neural net,none,2.5,1998,LeCun et al. 1998
"3-layer NN, 500+150 hidden units",neural net,none,2.95,1998,LeCun et al. 1998
"3-layer NN, 500+150 HU [distortions]",neural net,none,2.45,1998,LeCun et al. 1998
"3-layer NN, 500+300 HU, softmax, cross entropy, weight decay",neural net,none,1.53,2005,"Hinton, unpublished, 2005"
"2-layer NN, 800 HU, Cross-Entropy Loss",neural net,none,1.6,2003,"Simard et al., ICDAR 2003"
"2-layer NN, 800 HU, cross-entropy [affine distortions]",neural net,none,1.1,2003,"Simard et al., ICDAR 2003"
"2-layer NN, 800 HU, MSE [elastic distortions]",neural net,none,0.9,2003,"Simard et al., ICDAR 2003"
"2-layer NN, 800 HU, cross-entropy [elastic distortions]",neural net,none,0.7,2003,"Simard et al., ICDAR 2003"
"NN, 784-500-500-2000-30 + nearest neighbor, RBM + NCA training [no distortions]",neural net,none,1,2007,"Salakhutdinov and Hinton, AI-Stats 2007"
6-layer NN 784-2500-2000-1500-1000-500-10 (on GPU) [elastic distortions],neural net,none,0.35,2010,"Ciresan et al. Neural Computation 10, 2010 and arXiv 1003.0358, 2010"
committee of 25 NN 784-800-10 [elastic distortions],neural net,"width normalization, deslanting",0.39,2011,Meier et al. ICDAR 2011
"deep convex net, unsup pre-training [no distortions]",neural net,none,0.83,2010,Deng et al. Interspeech 2010
Convolutional net LeNet-1,convnet,subsampling to 16x16 pixels,1.7,1994,Bottou et al 1994
Convolutional net LeNet-4,convnet,none,1.1,1994,Bottou et al 1994
Convolutional net LeNet-4 with K-NN instead of last layer,convnet,none,1.1,1994,Bottou et al 1994
Convolutional net LeNet-4 with local learning instead of last layer,convnet,none,1.1,1994,Bottou et al 1994
"Convolutional net LeNet-5, [no distortions]",convnet,none,0.95,1994,Bottou et al 1994
"Convolutional net LeNet-5, [huge distortions]",convnet,none,0.85,1994,Bottou et al 1994
"Convolutional net LeNet-5, [distortions]",convnet,none,0.8,1994,Bottou et al 1994
"Convolutional net Boosted LeNet-4, [distortions]",convnet,none,0.7,1994,Bottou et al 1994
Trainable feature extractor + SVMs [no distortions],convnet,none,0.83,2007,"Lauer et al., Pattern Recognition 40-6, 2007"
Trainable feature extractor + SVMs [elastic distortions],convnet,none,0.56,2007,"Lauer et al., Pattern Recognition 40-6, 2007"
Trainable feature extractor + SVMs [affine distortions],convnet,none,0.54,2007,"Lauer et al., Pattern Recognition 40-6, 2007"
"unsupervised sparse features + SVM, [no distortions]",convnet,none,0.59,2008,"Labusch et al., IEEE TNN 2008"
"Convolutional net, cross-entropy [affine distortions]",convnet,none,0.6,2003,"Simard et al., ICDAR 2003"
"Convolutional net, cross-entropy [elastic distortions]",convnet,none,0.4,2003,"Simard et al., ICDAR 2003"
"large conv. net, random features [no distortions]",convnet,none,0.89,2007,"Ranzato et al., CVPR 2007"
"large conv. net, unsup features [no distortions]",convnet,none,0.62,2007,"Ranzato et al., CVPR 2007"
"large conv. net, unsup pretraining [no distortions]",convnet,none,0.6,2006,"Ranzato et al., NIPS 2006"
"large conv. net, unsup pretraining [elastic distortions]",convnet,none,0.39,2006,"Ranzato et al., NIPS 2006"
"large conv. net, unsup pretraining [no distortions]",convnet,none,0.53,2009,"Jarrett et al., ICCV 2009"
"large/deep conv. net, 1-20-40-60-80-100-120-120-10 [elastic distortions]",convnet,none,0.35,2011,Ciresan et al. IJCAI 2011
"committee of 7 conv. net, 1-20-P-40-P-150-10 [elastic distortions]",convnet,width normalization,0.27,2011,Ciresan et al. ICDAR 2011
"committee of 35 conv. net, 1-20-P-40-P-150-10 [elastic distortions]",convnet,width normalization,0.23,2012,Ciresan et al. CVPR 2012
